Town master list,,,,,,,,,
Towns in Tasmania,,,,,,,,,
Name,Postcode,RTO,LGA,Secondary LGA,Launceston and north,Hobart and south,East coast,West coast,North west
Koonya,7187,DST,Tasman Council,N/A,,Yes - featured,,,
Lachlan,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Lackrana,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Lady Barron,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Lake Leake,7210,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Lake Margaret,7467,WxNW,West Coast Council,N/A,,,,Yes - featured,
Lake Sorell,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Lake St Clair,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Lalla,7267,VNT,Launceston City Council,N/A,Yes - featured,,,,
Lanena,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Lapoinya,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Latrobe,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Lauderdale,7021,DST,Clarence City Council,N/A,,Yes - featured,,,
Launceston,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Lawitta,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Lebrina,7254,VNT,Launceston City Council,N/A,Yes - featured,,,,
Leeka,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Lefroy,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Legana,7277,VNT,West Tamar Council,N/A,Yes - featured,,,,
Legerwood,7263,VNT,Dorset Council,N/A,Yes - featured,,,,
Leith,7315,WxNW,Central Coast Council,Devonport City Council,,,,,Yes - featured
Lemont,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Lenah Valley,7008,DST,Hobart City Council,Glenorchy Council,,Yes - featured,,,
Leslie Vale,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Levendale,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Lewisham,7173,DST,Sorell Council,N/A,,Yes - featured,,,
